row,values
0,0.7029563447003522
1,0.5812335445790042
2,0.6332573725547643
3,0.6848590827257879
4,0.7012635657176027
5,0.6733606599005773
6,0.6228921292841301
7,0.6681906509569976
8,0.5115735338561367
9,0.5944238754682851
10,0.663305355013475
11,0.5514067430934538
12,0.6296505682796879
13,0.6424836988597491
14,0.5575455399221
15,0.6263927476526637
16,0.5797031264762305
17,0.6221957154290865
18,0.5287375657630153
19,0.6127965410619992
20,0.5965957059953463
21,0.6377054906514743
22,0.7743545494040407
23,0.5794965269941887
24,0.5164387234094573
25,0.7240804269857843
26,0.550963630251154
27,0.5079727229190657
28,0.7482305762473546
29,0.6378781756640836
